time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,precipAccumulation,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime,dewPoint,humidity,windSpeed,windBearing,visibility,cloudCover,pressure
2013-12-31T06:00:00Z,"Snow (1–3 cm.) starting in the afternoon, continuing until evening.",snow,2013-12-31T13:30:21Z,2013-12-31T22:33:27Z,0.97,0.0406,0.4013,2013-12-31T23:00:00Z,0.55,snow,1.905,-19.7,2013-12-31T14:00:00Z,-14.13,2014-01-01T02:00:00Z,-25.72,2013-12-31T12:00:00Z,-14.13,2014-01-01T02:00:00Z,-19.17,0.79,1.6,286,12.83,0.24,1026.37
2014-01-01T06:00:00Z,Clear throughout the day.,clear-day,2014-01-01T13:30:26Z,2014-01-01T22:34:18Z,0.02,0,0,NA,0,NA,NA,-17.82,2014-01-01T10:00:00Z,-13.51,2014-01-02T05:00:00Z,-26.8,2014-01-01T08:00:00Z,-22.01,2014-01-02T05:00:00Z,-20.33,0.66,5.09,22,14.5,0.58,1028.73
2014-01-02T06:00:00Z,Clear throughout the day.,clear-day,2014-01-02T13:30:28Z,2014-01-02T22:35:10Z,0.05,0,0,NA,0,NA,NA,-21.39,2014-01-03T05:00:00Z,-11.89,2014-01-02T21:00:00Z,-27.77,2014-01-03T04:00:00Z,-19.49,2014-01-02T21:00:00Z,-19.35,0.68,4,355,14.61,0.17,1028.65
2014-01-03T06:00:00Z,Breezy starting in the evening.,wind,2014-01-03T13:30:29Z,2014-01-03T22:36:04Z,0.09,0,0,NA,0,NA,NA,-24.7,2014-01-03T11:00:00Z,-7.68,2014-01-04T05:00:00Z,-33.23,2014-01-03T12:00:00Z,-16.89,2014-01-04T05:00:00Z,-19.4,0.74,5.69,186,15.11,0.06,1022.63
2014-01-04T06:00:00Z,Clear throughout the day.,clear-day,2014-01-04T13:30:26Z,2014-01-04T22:37:00Z,0.12,0,0,NA,0,NA,NA,-8.39,2014-01-05T05:00:00Z,-0.15,2014-01-04T20:00:00Z,-15.98,2014-01-04T06:00:00Z,-2.41,2014-01-04T20:00:00Z,-8.27,0.72,2.83,228,15.42,0.17,1010.8
2014-01-05T06:00:00Z,Clear throughout the day.,clear-day,2014-01-05T13:30:22Z,2014-01-05T22:37:57Z,0.16,0,0,NA,0,NA,NA,-22.17,2014-01-06T05:00:00Z,-9.33,2014-01-05T06:00:00Z,-33.89,2014-01-06T05:00:00Z,-16.29,2014-01-05T06:00:00Z,-21.61,0.57,5.71,337,16.01,0.17,1021.57
2014-01-06T06:00:00Z,Clear throughout the day.,clear-day,2014-01-06T13:30:15Z,2014-01-06T22:38:56Z,0.2,0,0,NA,0,NA,NA,-27.83,2014-01-06T15:00:00Z,-22.83,2014-01-06T06:00:00Z,-41.76,2014-01-06T15:00:00Z,-34.98,2014-01-06T06:00:00Z,-31.08,0.58,5.61,283,15.16,0.03,1023.08
2014-01-07T06:00:00Z,Clear throughout the day.,clear-day,2014-01-07T13:30:05Z,2014-01-07T22:39:57Z,0.23,0,0,NA,0,NA,NA,-25.88,2014-01-07T10:00:00Z,-17.09,2014-01-07T22:00:00Z,-36.43,2014-01-07T06:00:00Z,-23.91,2014-01-07T22:00:00Z,-26.72,0.63,3.12,241,16.09,0.02,1024.73
2014-01-08T06:00:00Z,Clear throughout the day.,clear-day,2014-01-08T13:29:53Z,2014-01-08T22:40:59Z,0.27,0,0,NA,0,NA,NA,-23.88,2014-01-08T11:00:00Z,-13.1,2014-01-08T21:00:00Z,-32.03,2014-01-08T10:00:00Z,-17.47,2014-01-08T21:00:00Z,-23.86,0.7,1.79,290,15.98,0.01,1030.84
2014-01-09T06:00:00Z,Foggy overnight.,fog,2014-01-09T13:29:39Z,2014-01-09T22:42:03Z,0.3,0,0,NA,0,NA,NA,-26.04,2014-01-09T12:00:00Z,-5.4,2014-01-10T05:00:00Z,-35.68,2014-01-09T12:00:00Z,-10.07,2014-01-10T05:00:00Z,-18.18,0.77,2.34,145,14.1,0.13,1029.28
